time	V(vout)
8.857663295175847e-003	3.304698e-001
8.877194545175847e-003	3.014540e-001
8.896725795175847e-003	2.678589e-001
8.916257045175846e-003	2.301897e-001
8.935788295175846e-003	1.890132e-001
8.955319545175845e-003	1.449487e-001
8.974850795175845e-003	9.865882e-002
8.994382045175844e-003	5.083992e-002
9.013913295175844e-003	2.211215e-003
9.033444545175844e-003	-4.649587e-002
9.052975795175843e-003	-9.454873e-002
9.072507045175843e-003	-1.412246e-001
9.092038295175842e-003	-1.858215e-001
9.111569545175842e-003	-2.276686e-001
9.131100795175842e-003	-2.661364e-001
9.150632045175841e-003	-3.006464e-001
9.170163295175841e-003	-3.306795e-001
9.189694545175840e-003	-3.557841e-001
9.209225795175840e-003	-3.755825e-001
9.228757045175839e-003	-3.897768e-001
9.248288295175839e-003	-3.981537e-001
9.267819545175839e-003	-4.005871e-001
9.287350795175838e-003	-3.970404e-001
9.306882045175838e-003	-3.875670e-001
9.326413295175837e-003	-3.723093e-001
9.345944545175837e-003	-3.514969e-001
9.365475795175837e-003	-3.254428e-001
9.385007045175836e-003	-2.945388e-001
9.404538295175836e-003	-2.592498e-001
9.424069545175835e-003	-2.201066e-001
9.443600795175835e-003	-1.776979e-001
9.463132045175834e-003	-1.326616e-001
9.482663295175834e-003	-8.567505e-002
9.502194545175834e-003	-3.744499e-002
9.521725795175833e-003	1.130315e-002
9.541257045175833e-003	5.983615e-002
9.560788295175832e-003	1.074240e-001
9.580319545175832e-003	1.533511e-001
9.599850795175832e-003	1.969264e-001
9.619382045175831e-003	2.374946e-001
9.638913295175831e-003	2.744457e-001
9.658444545175830e-003	3.072236e-001
9.677975795175830e-003	3.353355e-001
9.697507045175829e-003	3.583585e-001
9.717038295175829e-003	3.759463e-001
9.736569545175829e-003	3.878345e-001
9.756100795175828e-003	3.938441e-001
9.775632045175828e-003	3.938848e-001
9.795163295175827e-003	3.879561e-001
9.814694545175827e-003	3.761469e-001
9.834225795175827e-003	3.586350e-001
9.853757045175826e-003	3.356838e-001
9.873288295175826e-003	3.076385e-001
9.892819545175825e-003	2.749209e-001
9.912350795175825e-003	2.380231e-001
9.931882045175824e-003	1.975001e-001
9.951413295175824e-003	1.539614e-001
9.970944545175824e-003	1.080618e-001
9.990475795175823e-003	6.049297e-002
1.000000000000000e-002	-1.#IND00e+000
