time	V(vout1)
1.771343107197230e-003	-9.655674e-003
1.781583107197169e-003	-9.418587e-003
1.791823107197109e-003	-9.143688e-003
1.802063107197048e-003	-8.832093e-003
1.812303107196987e-003	-8.485074e-003
1.822543107196926e-003	-8.104046e-003
1.832783107196865e-003	-7.690567e-003
1.843023107196804e-003	-7.246328e-003
1.853263107196744e-003	-6.773149e-003
1.863503107196683e-003	-6.272969e-003
1.873743107196622e-003	-5.747839e-003
1.883983107196561e-003	-5.199913e-003
1.894223107196500e-003	-4.631442e-003
1.904463107196440e-003	-4.044759e-003
1.914703107196379e-003	-3.442274e-003
1.924943107196318e-003	-2.826462e-003
1.935183107196257e-003	-2.199855e-003
1.945423107196196e-003	-1.565027e-003
1.955663107196136e-003	-9.245886e-004
1.965903107196075e-003	-2.811728e-004
1.976143107196014e-003	3.625748e-004
1.986383107195953e-003	1.004007e-003
1.996623107195892e-003	1.640486e-003
2.006863107195831e-003	2.269395e-003
2.017103107195771e-003	2.888147e-003
2.027343107195710e-003	3.494197e-003
2.037583107195649e-003	4.085054e-003
2.047823107195588e-003	4.658289e-003
2.058063107195527e-003	5.211545e-003
2.068303107195467e-003	5.742548e-003
2.078543107195406e-003	6.249116e-003
2.088783107195345e-003	6.729168e-003
2.099023107195284e-003	7.180732e-003
2.109263107195223e-003	7.601955e-003
2.119503107195163e-003	7.991107e-003
2.129743107195102e-003	8.346595e-003
2.139983107195041e-003	8.666960e-003
2.150223107194980e-003	8.950890e-003
2.160463107194919e-003	9.197226e-003
2.170703107194858e-003	9.404962e-003
2.180943107194798e-003	9.573252e-003
2.191183107194737e-003	9.701414e-003
2.201423107194676e-003	9.788929e-003
2.211663107194615e-003	9.835451e-003
2.221903107194554e-003	9.840799e-003
2.232143107194494e-003	9.804964e-003
2.242383107194433e-003	9.728108e-003
2.252623107194372e-003	9.610561e-003
2.262863107194311e-003	9.452822e-003
2.273103107194250e-003	9.255557e-003
2.283343107194190e-003	9.019596e-003
2.293583107194129e-003	8.745925e-003
2.303823107194068e-003	8.435689e-003
2.314063107194007e-003	8.090186e-003
2.324303107193946e-003	7.710855e-003
2.334543107193885e-003	7.299280e-003
2.344783107193825e-003	6.857174e-003
2.355023107193764e-003	6.386378e-003
2.365263107193703e-003	5.888852e-003
2.375503107193642e-003	5.366666e-003
2.385743107193581e-003	4.821992e-003
2.395983107193521e-003	4.257096e-003
2.406223107193460e-003	3.674325e-003
2.416463107193399e-003	3.076101e-003
2.426703107193338e-003	2.464911e-003
2.436943107193277e-003	1.843295e-003
2.447183107193217e-003	1.213835e-003
2.457423107193156e-003	5.791457e-004
2.467663107193095e-003	-5.813539e-005
2.477903107193034e-003	-6.953616e-004
2.488143107192973e-003	-1.329886e-003
2.498383107192912e-003	-1.959073e-003
2.508623107192852e-003	-2.580310e-003
2.518863107192791e-003	-3.191016e-003
2.529103107192730e-003	-3.788654e-003
2.539343107192669e-003	-4.370742e-003
2.549583107192608e-003	-4.934863e-003
2.559823107192548e-003	-5.478673e-003
2.570063107192487e-003	-5.999912e-003
2.580303107192426e-003	-6.496414e-003
2.590543107192365e-003	-6.966116e-003
2.600783107192304e-003	-7.407067e-003
2.611023107192243e-003	-7.817432e-003
2.621263107192183e-003	-8.195505e-003
2.631503107192122e-003	-8.539715e-003
2.641743107192061e-003	-8.848626e-003
2.651983107192000e-003	-9.120954e-003
2.662223107191939e-003	-9.355563e-003
2.672463107191879e-003	-9.551475e-003
2.682703107191818e-003	-9.707871e-003
2.692943107191757e-003	-9.824096e-003
2.703183107191696e-003	-9.899663e-003
2.713423107191635e-003	-9.934249e-003
2.723663107191575e-003	-9.927707e-003
2.733903107191514e-003	-9.880054e-003
2.744143107191453e-003	-9.791480e-003
2.754383107191392e-003	-9.662347e-003
2.764623107191331e-003	-9.493180e-003
2.774863107191270e-003	-9.284673e-003
2.785103107191210e-003	-9.037683e-003
2.795343107191149e-003	-8.753223e-003
2.805583107191088e-003	-8.432466e-003
2.815823107191027e-003	-8.076731e-003
2.826063107190966e-003	-7.687484e-003
2.836303107190906e-003	-7.266331e-003
2.846543107190845e-003	-6.815007e-003
2.856783107190784e-003	-6.335374e-003
2.867023107190723e-003	-5.829411e-003
