v3	Ic(Q2)
3.169999999999976e+000	5.532494e-003
3.179999999999976e+000	5.533022e-003
3.189999999999976e+000	5.533551e-003
3.199999999999976e+000	5.534080e-003
3.209999999999976e+000	5.534609e-003
3.219999999999975e+000	5.535138e-003
3.229999999999975e+000	5.535667e-003
3.239999999999975e+000	5.536196e-003
3.249999999999975e+000	5.536725e-003
3.259999999999975e+000	5.537254e-003
3.269999999999974e+000	5.537783e-003
3.279999999999974e+000	5.538311e-003
3.289999999999974e+000	5.538840e-003
3.299999999999974e+000	5.539369e-003
3.309999999999973e+000	5.539898e-003
3.319999999999973e+000	5.540427e-003
3.329999999999973e+000	5.540956e-003
3.339999999999973e+000	5.541485e-003
3.349999999999973e+000	5.542014e-003
3.359999999999972e+000	5.542542e-003
3.369999999999972e+000	5.543071e-003
3.379999999999972e+000	5.543600e-003
3.389999999999972e+000	5.544129e-003
3.399999999999972e+000	5.544658e-003
3.409999999999971e+000	5.545187e-003
3.419999999999971e+000	5.545716e-003
3.429999999999971e+000	5.546244e-003
3.439999999999971e+000	5.546773e-003
3.449999999999970e+000	5.547302e-003
3.459999999999970e+000	5.547831e-003
3.469999999999970e+000	5.548360e-003
3.479999999999970e+000	5.548889e-003
3.489999999999970e+000	5.549417e-003
3.499999999999969e+000	5.549946e-003
3.509999999999969e+000	5.550475e-003
3.519999999999969e+000	5.551004e-003
3.529999999999969e+000	5.551533e-003
3.539999999999969e+000	5.552062e-003
3.549999999999968e+000	5.552590e-003
3.559999999999968e+000	5.553119e-003
3.569999999999968e+000	5.553648e-003
3.579999999999968e+000	5.554177e-003
3.589999999999967e+000	5.554706e-003
3.599999999999967e+000	5.555234e-003
3.609999999999967e+000	5.555763e-003
3.619999999999967e+000	5.556292e-003
3.629999999999967e+000	5.556821e-003
3.639999999999966e+000	5.557350e-003
3.649999999999966e+000	5.557878e-003
3.659999999999966e+000	5.558407e-003
3.669999999999966e+000	5.558936e-003
3.679999999999966e+000	5.559465e-003
3.689999999999965e+000	5.559994e-003
3.699999999999965e+000	5.560522e-003
3.709999999999965e+000	5.561051e-003
3.719999999999965e+000	5.561580e-003
3.729999999999965e+000	5.562109e-003
3.739999999999964e+000	5.562638e-003
3.749999999999964e+000	5.563166e-003
3.759999999999964e+000	5.563695e-003
3.769999999999964e+000	5.564224e-003
3.779999999999963e+000	5.564753e-003
3.789999999999963e+000	5.565281e-003
3.799999999999963e+000	5.565810e-003
3.809999999999963e+000	5.566339e-003
3.819999999999963e+000	5.566868e-003
3.829999999999962e+000	5.567397e-003
3.839999999999962e+000	5.567926e-003
3.849999999999962e+000	5.568454e-003
3.859999999999962e+000	5.568983e-003
3.869999999999962e+000	5.569512e-003
3.879999999999961e+000	5.570041e-003
3.889999999999961e+000	5.570569e-003
3.899999999999961e+000	5.571098e-003
3.909999999999961e+000	5.571627e-003
3.919999999999960e+000	5.572156e-003
3.929999999999960e+000	5.572684e-003
3.939999999999960e+000	5.573213e-003
3.949999999999960e+000	5.573742e-003
3.959999999999960e+000	5.574271e-003
3.969999999999959e+000	5.574799e-003
3.979999999999959e+000	5.575328e-003
3.989999999999959e+000	5.575857e-003
3.999999999999959e+000	5.576386e-003
4.009999999999959e+000	5.576914e-003
4.019999999999959e+000	5.577443e-003
4.029999999999959e+000	5.577972e-003
4.039999999999958e+000	5.578500e-003
4.049999999999958e+000	5.579029e-003
4.059999999999958e+000	5.579558e-003
4.069999999999958e+000	5.580087e-003
4.079999999999957e+000	5.580615e-003
4.089999999999957e+000	5.581144e-003
4.099999999999957e+000	5.581673e-003
4.109999999999957e+000	5.582201e-003
4.119999999999957e+000	5.582730e-003
4.129999999999956e+000	5.583259e-003
4.139999999999956e+000	5.583787e-003
4.149999999999956e+000	5.584316e-003
4.159999999999956e+000	5.584845e-003
4.169999999999956e+000	5.585373e-003
4.179999999999955e+000	5.585902e-003
4.189999999999955e+000	5.586431e-003
4.199999999999955e+000	5.586959e-003
4.209999999999955e+000	5.587488e-003
4.219999999999955e+000	5.588017e-003
4.229999999999954e+000	5.588545e-003
4.239999999999954e+000	5.589074e-003
4.249999999999954e+000	5.589603e-003
4.259999999999954e+000	5.590132e-003
